id,name,city,capacity,working_hours
1,Ruò,Ždánice,98,08:00-22:00
2,Mélina,Shuitou,32,09:00-23:00
3,Mélia,Kaustinen,21,09:00-23:00
4,Méng,Mesopotam,29,09:00-23:00
5,Wá,Nuštar,95,09:00-23:00
6,Maïlis,Psyzh,67,08:00-22:00
7,Maëlys,Rancabolang,31,09:00-23:00
8,Angèle,Garupá,84,09:00-23:00
9,Styrbjörn,Columbus,21,08:00-22:00
10,Léana,Nueva Manoa,42,09:00-23:00
11,Aimée,Birmingham,45,09:00-23:00
12,Léandre,Horizonte,67,09:00-23:00
13,Vérane,Lampitak,87,08:00-22:00
14,Desirée,Ramos West,75,09:00-23:00
15,Lén,Piteå,83,09:00-23:00
16,Inès,Mene de Mauroa,67,09:00-23:00
17,Rébecca,Petaling Jaya,30,09:00-23:00
18,Gösta,Bajo Pichanaqui,52,08:00-22:00
19,Thérèse,Placer,77,08:00-22:00
20,Faîtes,Zhuanqukou,99,08:00-22:00
21,Annotée,Yashkul’,45,09:00-23:00
22,Angélique,Xinzhou,39,09:00-23:00
23,Intéressant,Gävle,35,09:00-23:00
24,Gaïa,Busia,26,08:00-22:00
25,Mylène,Belfort,84,08:00-22:00
26,Mélinda,Joyabaj,79,09:00-23:00
27,Josée,Karakol,28,08:00-22:00
28,Dorothée,Gupakan,33,08:00-22:00
29,Joséphine,Guoyuan,21,09:00-23:00
30,Edmée,Shuikou,75,09:00-23:00
31,Lèi,Voiron,23,08:00-22:00
32,Maïté,São José do Rio Preto,48,08:00-22:00
33,Andrée,San Fernando,47,08:00-22:00
34,Örjan,København,29,09:00-23:00
35,Eléa,Jepat Kidul,39,09:00-23:00
36,Yú,Tabaga,78,09:00-23:00
37,Yè,Sa‘sa‘,11,08:00-22:00
38,Geneviève,Dobrzyca,50,09:00-23:00
39,Dù,Nam Sách,22,08:00-22:00
40,Célestine,Strážná,83,08:00-22:00
41,Médiamass,Tallahassee,78,09:00-23:00
42,Loïca,Älvdalen,67,09:00-23:00
43,Ophélie,Herāt,90,09:00-23:00
44,Léandre,Kurchatov,23,09:00-23:00
45,Aloïs,Bishan,35,09:00-23:00
46,Anaïs,Gālīkesh,60,08:00-22:00
47,Noémie,Malbug,59,09:00-23:00
48,Marie-josée,Kerasochóri,77,09:00-23:00
49,Ruì,Yuetang,30,09:00-23:00
50,Dafnée,Spartanburg,63,09:00-23:00
51,Liè,Sima,62,09:00-23:00
52,Maëlann,Alençon,66,09:00-23:00
53,Aurélie,Yanjiang,41,09:00-23:00
54,Noémie,Ust’-Omchug,31,08:00-22:00
55,Céline,Caucete,37,08:00-22:00
56,Styrbjörn,Zhongtai,17,09:00-23:00
57,Marie-noël,Smoky Lake,40,09:00-23:00
58,Bénédicte,Ararat,15,09:00-23:00
59,Lóng,Huangguan,19,09:00-23:00
60,Crééz,Binucayan,66,08:00-22:00
61,Miléna,Luzhang,44,09:00-23:00
62,Océanne,Póvoa,52,08:00-22:00
63,Anaïs,Ozërsk,23,09:00-23:00
